year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,63689.0,7.197,63689.0,7.197,63689.0,7.197,63689.0,7.197,2.1,314464.0
1961,65700.0,7.12,65700.0,7.12,65700.0,7.12,65700.0,7.12,2.1,314464.0
1962,67793.0,7.033,67793.0,7.033,67793.0,7.033,67793.0,7.033,2.1,314464.0
1963,69944.0,6.938,69944.0,6.938,69944.0,6.938,69944.0,6.938,2.1,314464.0
1964,72116.0,6.836,72116.0,6.836,72116.0,6.836,72116.0,6.836,2.1,314464.0
1965,74268.0,6.73,74268.0,6.73,74268.0,6.73,74268.0,6.73,2.1,314464.0
1966,76392.0,6.626,76392.0,6.626,76392.0,6.626,76392.0,6.626,2.1,314464.0
1967,78505.0,6.526,78505.0,6.526,78505.0,6.526,78505.0,6.526,2.1,314464.0
1968,80653.0,6.433,80653.0,6.433,80653.0,6.433,80653.0,6.433,2.1,314464.0
1969,82920.0,6.348,82920.0,6.348,82920.0,6.348,82920.0,6.348,2.1,314464.0
1970,85374.0,6.272,85374.0,6.272,85374.0,6.272,85374.0,6.272,2.1,314464.0
1971,88012.0,6.202,88012.0,6.202,88012.0,6.202,88012.0,6.202,2.1,314464.0
1972,90802.0,6.134,90802.0,6.134,90802.0,6.134,90802.0,6.134,2.1,314464.0
1973,93749.0,6.067,93749.0,6.067,93749.0,6.067,93749.0,6.067,2.1,314464.0
1974,96773.0,5.999,96773.0,5.999,96773.0,5.999,96773.0,5.999,2.1,314464.0
1975,99863.0,5.929,99863.0,5.929,99863.0,5.929,99863.0,5.929,2.1,314464.0
1976,103002.0,5.858,103002.0,5.858,103002.0,5.858,103002.0,5.858,2.1,314464.0
1977,106206.0,5.787,106206.0,5.787,106206.0,5.787,106206.0,5.787,2.1,314464.0
1978,109397.0,5.716,109397.0,5.716,109397.0,5.716,109397.0,5.716,2.1,314464.0
1979,112543.0,5.645,112543.0,5.645,112543.0,5.645,112543.0,5.645,2.1,314464.0
1980,115598.0,5.575,115598.0,5.575,115598.0,5.575,115598.0,5.575,2.1,314464.0
1981,118546.0,5.503,118546.0,5.503,118546.0,5.503,118546.0,5.503,2.1,314464.0
1982,121398.0,5.43,121398.0,5.43,121398.0,5.43,121398.0,5.43,2.1,314464.0
