year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3032156070.0,4.979299498,3032156070.0,4.979299498,3032156070.0,4.979299498,3032156070.0,4.979299498,2.1,7836630792.0
1961,3071596055.0,5.003564277,3071596055.0,5.003564277,3071596055.0,5.003564277,3071596055.0,5.003564277,2.1,7836630792.0
1962,3124561005.0,5.025367418,3124561005.0,5.025367418,3124561005.0,5.025367418,3124561005.0,5.025367418,2.1,7836630792.0
1963,3189655687.0,5.045550595,3189655687.0,5.045550595,3189655687.0,5.045550595,3189655687.0,5.045550595,2.1,7836630792.0
1964,3255145692.0,5.056470116,3255145692.0,5.056470116,3255145692.0,5.056470116,3255145692.0,5.056470116,2.1,7836630792.0
1965,3322046795.0,5.040687076,3322046795.0,5.040687076,3322046795.0,5.040687076,3322046795.0,5.040687076,2.1,7836630792.0
1966,3392097729.0,4.992084743,3392097729.0,4.992084743,3392097729.0,4.992084743,3392097729.0,4.992084743,2.1,7836630792.0
1967,3461619724.0,4.97327569,3461619724.0,4.97327569,3461619724.0,4.97327569,3461619724.0,4.97327569,2.1,7836630792.0
1968,3532782993.0,4.922089469,3532782993.0,4.922089469,3532782993.0,4.922089469,3532782993.0,4.922089469,2.1,7836630792.0
1969,3606553753.0,4.855976292,3606553753.0,4.855976292,3606553753.0,4.855976292,3606553753.0,4.855976292,2.1,7836630792.0
1970,3681975908.0,4.778572494,3681975908.0,4.778572494,3681975908.0,4.778572494,3681975908.0,4.778572494,2.1,7836630792.0
1971,3760516757.0,4.669268331,3760516757.0,4.669268331,3760516757.0,4.669268331,3760516757.0,4.669268331,2.1,7836630792.0
1972,3836900801.0,4.53970361,3836900801.0,4.53970361,3836900801.0,4.53970361,3836900801.0,4.53970361,2.1,7836630792.0
1973,3912984371.0,4.410469926,3912984371.0,4.410469926,3912984371.0,4.410469926,3912984371.0,4.410469926,2.1,7836630792.0
1974,3988487336.0,4.288770812,3988487336.0,4.288770812,3988487336.0,4.288770812,3988487336.0,4.288770812,2.1,7836630792.0
1975,4062507027.0,4.15688867,4062507027.0,4.15688867,4062507027.0,4.15688867,4062507027.0,4.15688867,2.1,7836630792.0
1976,4135432265.0,4.040382918,4135432265.0,4.040382918,4135432265.0,4.040382918,4135432265.0,4.040382918,2.1,7836630792.0
1977,4207786422.0,3.936737207,4207786422.0,3.936737207,4207786422.0,3.936737207,4207786422.0,3.936737207,2.1,7836630792.0
1978,4281339378.0,3.843072253,4281339378.0,3.843072253,4281339378.0,3.843072253,4281339378.0,3.843072253,2.1,7836630792.0
1979,4356778367.0,3.77341512,4356778367.0,3.77341512,4356778367.0,3.77341512,4356778367.0,3.77341512,2.1,7836630792.0
1980,4432963653.0,3.713652391,4432963653.0,3.713652391,4432963653.0,3.713652391,4432963653.0,3.713652391,2.1,7836630792.0
1981,4511164132.0,3.656614012,4511164132.0,3.656614012,4511164132.0,3.656614012,4511164132.0,3.656614012,2.1,7836630792.0
1982,4592387213.0,3.627155101,4592387213.0,3.627155101,4592387213.0,3.627155101,4592387213.0,3.627155101,2.1,7836630792.0
1983,4674330282.0,3.5945681,4674330282.0,3.5945681,4674330282.0,3.5945681,4674330282.0,3.5945681,2.1,7836630792.0
1984,4755996689.0,3.564195128,4755996689.0,3.564195128,4755996689.0,3.564195128,4755996689.0,3.564195128,2.1,7836630792.0
1985,4839176734.0,3.535984167,4839176734.0,3.535984167,4839176734.0,3.535984167,4839176734.0,3.535984167,2.1,7836630792.0
1986,4924747934.0,3.499524247,4924747934.0,3.499524247,4924747934.0,3.499524247,4924747934.0,3.499524247,2.1,7836630792.0
1987,5012556248.0,3.455160571,5012556248.0,3.455160571,5012556248.0,3.455160571,5012556248.0,3.455160571,2.1,7836630792.0
