year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,108627.0,7.651,108627.0,7.651,108627.0,7.651,108627.0,7.651,2.1,200144.0
1961,112112.0,7.645,112112.0,7.645,112112.0,7.645,112112.0,7.645,2.1,200144.0
1962,115768.0,7.63,115768.0,7.63,115768.0,7.63,115768.0,7.63,2.1,200144.0
1963,119552.0,7.604,119552.0,7.604,119552.0,7.604,119552.0,7.604,2.1,200144.0
1964,123346.0,7.567,123346.0,7.567,123346.0,7.567,123346.0,7.567,2.1,200144.0
1965,127055.0,7.519,127055.0,7.519,127055.0,7.519,127055.0,7.519,2.1,200144.0
1966,130672.0,7.462,130672.0,7.462,130672.0,7.462,130672.0,7.462,2.1,200144.0
1967,134181.0,7.4,134181.0,7.4,134181.0,7.4,134181.0,7.4,2.1,200144.0
1968,137484.0,7.334,137484.0,7.334,137484.0,7.334,137484.0,7.334,2.1,200144.0
1969,140495.0,7.265,140495.0,7.265,140495.0,7.265,140495.0,7.265,2.1,200144.0
1970,143146.0,7.194,143146.0,7.194,143146.0,7.194,143146.0,7.194,2.1,200144.0
1971,145407.0,7.119,145407.0,7.119,145407.0,7.119,145407.0,7.119,2.1,200144.0
1972,147295.0,7.039,147295.0,7.039,147295.0,7.039,147295.0,7.039,2.1,200144.0
1973,148858.0,6.952,148858.0,6.952,148858.0,6.952,148858.0,6.952,2.1,200144.0
1974,150191.0,6.859,150191.0,6.859,150191.0,6.859,150191.0,6.859,2.1,200144.0
1975,151353.0,6.761,151353.0,6.761,151353.0,6.761,151353.0,6.761,2.1,200144.0
1976,152362.0,6.656,152362.0,6.656,152362.0,6.656,152362.0,6.656,2.1,200144.0
1977,153218.0,6.547,153218.0,6.547,153218.0,6.547,153218.0,6.547,2.1,200144.0
1978,153986.0,6.434,153986.0,6.434,153986.0,6.434,153986.0,6.434,2.1,200144.0
1979,154740.0,6.32,154740.0,6.32,154740.0,6.32,154740.0,6.32,2.1,200144.0
1980,155522.0,6.203,155522.0,6.203,155522.0,6.203,155522.0,6.203,2.1,200144.0
1981,156410.0,6.086,156410.0,6.086,156410.0,6.086,156410.0,6.086,2.1,200144.0
1982,157365.0,5.968,157365.0,5.968,157365.0,5.968,157365.0,5.968,2.1,200144.0
1983,158345.0,5.85,158345.0,5.85,158345.0,5.85,158345.0,5.85,2.1,200144.0
1984,159243.0,5.734,159243.0,5.734,159243.0,5.734,159243.0,5.734,2.1,200144.0
1985,159995.0,5.62,159995.0,5.62,159995.0,5.62,159995.0,5.62,2.1,200144.0
1986,160552.0,5.51,160552.0,5.51,160552.0,5.51,160552.0,5.51,2.1,200144.0
1987,160962.0,5.404,160962.0,5.404,160962.0,5.404,160962.0,5.404,2.1,200144.0
1988,161369.0,5.303,161369.0,5.303,161369.0,5.303,161369.0,5.303,2.1,200144.0
1989,161935.0,5.208,161935.0,5.208,161935.0,5.208,161935.0,5.208,2.1,200144.0
1990,162797.0,5.118,162797.0,5.118,162797.0,5.118,162797.0,5.118,2.1,200144.0
1991,164000.0,5.034,164000.0,5.034,164000.0,5.034,164000.0,5.034,2.1,200144.0
1992,165490.0,4.956,165490.0,4.956,165490.0,4.956,165490.0,4.956,2.1,200144.0
1993,167117.0,4.882,167117.0,4.882,167117.0,4.882,167117.0,4.882,2.1,200144.0
1994,168689.0,4.815,168689.0,4.815,168689.0,4.815,168689.0,4.815,2.1,200144.0
1995,170050.0,4.751,170050.0,4.751,170050.0,4.751,170050.0,4.751,2.1,200144.0
1996,171165.0,4.692,171165.0,4.692,171165.0,4.692,171165.0,4.692,2.1,200144.0
1997,172065.0,4.637,172065.0,4.637,172065.0,4.637,172065.0,4.637,2.1,200144.0
1998,172839.0,4.587,172839.0,4.587,172839.0,4.587,172839.0,4.587,2.1,200144.0
1999,173606.0,4.541,173606.0,4.541,173606.0,4.541,173606.0,4.541,2.1,200144.0
2000,174454.0,4.503,174454.0,4.503,174454.0,4.503,174454.0,4.503,2.1,200144.0
2001,175394.0,4.476,175394.0,4.476,175394.0,4.476,175394.0,4.476,2.1,200144.0
2002,176410.0,4.46,176410.0,4.46,176410.0,4.46,176410.0,4.46,2.1,200144.0
2003,177481.0,4.454,177481.0,4.454,177481.0,4.454,177481.0,4.454,2.1,200144.0
2004,178597.0,4.456,178597.0,4.456,178597.0,4.456,178597.0,4.456,2.1,200144.0
2005,179722.0,4.46,179722.0,4.46,179722.0,4.46,179722.0,4.46,2.1,200144.0
2006,180874.0,4.46,180874.0,4.46,180874.0,4.46,180874.0,4.46,2.1,200144.0
