year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,947000.0,,947000.0,,947000.0,,947000.0,,2.1,1806279.0
1961,966000.0,,966000.0,,966000.0,,966000.0,,2.1,1806279.0
1962,994000.0,,994000.0,,994000.0,,994000.0,,2.1,1806279.0
1963,1022000.0,,1022000.0,,1022000.0,,1022000.0,,2.1,1806279.0
1964,1050000.0,,1050000.0,,1050000.0,,1050000.0,,2.1,1806279.0
1965,1078000.0,,1078000.0,,1078000.0,,1078000.0,,2.1,1806279.0
1966,1106000.0,,1106000.0,,1106000.0,,1106000.0,,2.1,1806279.0
1967,1135000.0,,1135000.0,,1135000.0,,1135000.0,,2.1,1806279.0
1968,1163000.0,,1163000.0,,1163000.0,,1163000.0,,2.1,1806279.0
1969,1191000.0,,1191000.0,,1191000.0,,1191000.0,,2.1,1806279.0
1970,1219000.0,,1219000.0,,1219000.0,,1219000.0,,2.1,1806279.0
1971,1247000.0,,1247000.0,,1247000.0,,1247000.0,,2.1,1806279.0
1972,1278000.0,,1278000.0,,1278000.0,,1278000.0,,2.1,1806279.0
1973,1308000.0,,1308000.0,,1308000.0,,1308000.0,,2.1,1806279.0
1974,1339000.0,,1339000.0,,1339000.0,,1339000.0,,2.1,1806279.0
1975,1369000.0,,1369000.0,,1369000.0,,1369000.0,,2.1,1806279.0
1976,1400000.0,,1400000.0,,1400000.0,,1400000.0,,2.1,1806279.0
1977,1430000.0,,1430000.0,,1430000.0,,1430000.0,,2.1,1806279.0
1978,1460000.0,,1460000.0,,1460000.0,,1460000.0,,2.1,1806279.0
1979,1491000.0,,1491000.0,,1491000.0,,1491000.0,,2.1,1806279.0
1980,1521000.0,,1521000.0,,1521000.0,,1521000.0,,2.1,1806279.0
1981,1552000.0,4.58,1552000.0,4.58,1552000.0,4.58,1552000.0,4.58,2.1,1806279.0
1982,1582000.0,4.88,1582000.0,4.88,1582000.0,4.88,1582000.0,4.88,2.1,1806279.0
1983,1614000.0,4.48,1614000.0,4.48,1614000.0,4.48,1614000.0,4.48,2.1,1806279.0
1984,1647000.0,4.82,1647000.0,4.82,1647000.0,4.82,1647000.0,4.82,2.1,1806279.0
1985,1682000.0,4.56,1682000.0,4.56,1682000.0,4.56,1682000.0,4.56,2.1,1806279.0
1986,1717000.0,4.47,1717000.0,4.47,1717000.0,4.47,1717000.0,4.47,2.1,1806279.0
1987,1753000.0,4.43,1753000.0,4.43,1753000.0,4.43,1753000.0,4.43,2.1,1806279.0
1988,1791000.0,4.26,1791000.0,4.26,1791000.0,4.26,1791000.0,4.26,2.1,1806279.0
1989,1827000.0,3.92,1827000.0,3.92,1827000.0,3.92,1827000.0,3.92,2.1,1806279.0
1990,1862000.0,3.9,1862000.0,3.9,1862000.0,3.9,1862000.0,3.9,2.1,1806279.0
1991,1898000.0,3.58,1898000.0,3.58,1898000.0,3.58,1898000.0,3.58,2.1,1806279.0
1992,1932000.0,2.96,1932000.0,2.96,1932000.0,2.96,1932000.0,2.96,2.1,1806279.0
1993,1965000.0,2.84,1965000.0,2.84,1965000.0,2.84,1965000.0,2.84,2.1,1806279.0
1994,1997000.0,2.71,1997000.0,2.71,1997000.0,2.71,1997000.0,2.71,2.1,1806279.0
1995,2029000.0,2.7,2029000.0,2.7,2029000.0,2.7,2029000.0,2.7,2.1,1806279.0
1996,2059000.0,2.7,2059000.0,2.7,2059000.0,2.7,2059000.0,2.7,2.1,1806279.0
1997,2086000.0,2.46,2086000.0,2.46,2086000.0,2.46,2086000.0,2.46,2.1,1806279.0
1998,1966000.0,2.57,1966000.0,2.57,1966000.0,2.57,1966000.0,2.57,2.1,1806279.0
1999,1762000.0,2.88,1762000.0,2.88,1762000.0,2.88,1762000.0,2.88,2.1,1806279.0
2000,1700000.0,2.95,1700000.0,2.95,1700000.0,2.95,1700000.0,2.95,2.1,1806279.0
2001,1701154.0,2.8,1701154.0,2.8,1701154.0,2.8,1701154.0,2.8,2.1,1806279.0
2002,1702310.0,2.66,1702310.0,2.66,1702310.0,2.66,1702310.0,2.66,2.1,1806279.0
2003,1703466.0,2.34,1703466.0,2.34,1703466.0,2.34,1703466.0,2.34,2.1,1806279.0
2004,1704622.0,2.53,1704622.0,2.53,1704622.0,2.53,1704622.0,2.53,2.1,1806279.0
2005,1705780.0,2.65,1705780.0,2.65,1705780.0,2.65,1705780.0,2.65,2.1,1806279.0
2006,1719536.0,2.43,1719536.0,2.43,1719536.0,2.43,1719536.0,2.43,2.1,1806279.0
