year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5315351.0,7.938,5315351.0,7.938,5315351.0,7.938,5315351.0,7.938,2.1,30490639.0
1961,5393034.0,7.962,5393034.0,7.962,5393034.0,7.962,5393034.0,7.962,2.1,30490639.0
1962,5473671.0,7.991,5473671.0,7.991,5473671.0,7.991,5473671.0,7.991,2.1,30490639.0
1963,5556767.0,8.026,5556767.0,8.026,5556767.0,8.026,5556767.0,8.026,2.1,30490639.0
1964,5641598.0,8.067,5641598.0,8.067,5641598.0,8.067,5641598.0,8.067,2.1,30490639.0
1965,5727745.0,8.114,5727745.0,8.114,5727745.0,8.114,5727745.0,8.114,2.1,30490639.0
1966,5816241.0,8.166,5816241.0,8.166,5816241.0,8.166,5816241.0,8.166,2.1,30490639.0
1967,5907873.0,8.222,5907873.0,8.222,5907873.0,8.222,5907873.0,8.222,2.1,30490639.0
1968,6001858.0,8.278,6001858.0,8.278,6001858.0,8.278,6001858.0,8.278,2.1,30490639.0
1969,6097042.0,8.334,6097042.0,8.334,6097042.0,8.334,6097042.0,8.334,2.1,30490639.0
1970,6193379.0,8.386,6193379.0,8.386,6193379.0,8.386,6193379.0,8.386,2.1,30490639.0
1971,6290367.0,8.432,6290367.0,8.432,6290367.0,8.432,6290367.0,8.432,2.1,30490639.0
1972,6390573.0,8.471,6390573.0,8.471,6390573.0,8.471,6390573.0,8.471,2.1,30490639.0
1973,6500809.0,8.504,6500809.0,8.504,6500809.0,8.504,6500809.0,8.504,2.1,30490639.0
1974,6630003.0,8.531,6630003.0,8.531,6630003.0,8.531,6630003.0,8.531,2.1,30490639.0
1975,6784699.0,8.554,6784699.0,8.554,6784699.0,8.554,6784699.0,8.554,2.1,30490639.0
1976,6967944.0,8.578,6967944.0,8.578,6967944.0,8.578,6967944.0,8.578,2.1,30490639.0
1977,7178672.0,8.605,7178672.0,8.605,7178672.0,8.605,7178672.0,8.605,2.1,30490639.0
1978,7414167.0,8.636,7414167.0,8.636,7414167.0,8.636,7414167.0,8.636,2.1,30490639.0
1979,7669699.0,8.671,7669699.0,8.671,7669699.0,8.671,7669699.0,8.671,2.1,30490639.0
1980,7941903.0,8.71,7941903.0,8.71,7941903.0,8.71,7941903.0,8.71,2.1,30490639.0
1981,8231905.0,8.752,8231905.0,8.752,8231905.0,8.752,8231905.0,8.752,2.1,30490639.0
1982,8541605.0,8.793,8541605.0,8.793,8541605.0,8.793,8541605.0,8.793,2.1,30490639.0
1983,8869363.0,8.828,8869363.0,8.828,8869363.0,8.828,8869363.0,8.828,2.1,30490639.0
1984,9213078.0,8.853,9213078.0,8.853,9213078.0,8.853,9213078.0,8.853,2.1,30490639.0
1985,9572170.0,8.864,9572170.0,8.864,9572170.0,8.864,9572170.0,8.864,2.1,30490639.0
1986,9941102.0,8.858,9941102.0,8.858,9941102.0,8.858,9941102.0,8.858,2.1,30490639.0
1987,10322044.0,8.833,10322044.0,8.833,10322044.0,8.833,10322044.0,8.833,2.1,30490639.0
1988,10730864.0,8.786,10730864.0,8.786,10730864.0,8.786,10730864.0,8.786,2.1,30490639.0
1989,11189185.0,8.713,11189185.0,8.713,11189185.0,8.713,11189185.0,8.713,2.1,30490639.0
1990,11709987.0,8.606,11709987.0,8.606,11709987.0,8.606,11709987.0,8.606,2.1,30490639.0
1991,12302127.0,8.459,12302127.0,8.459,12302127.0,8.459,12302127.0,8.459,2.1,30490639.0
1992,12954157.0,8.272,12954157.0,8.272,12954157.0,8.272,12954157.0,8.272,2.1,30490639.0
1993,13634082.0,8.048,13634082.0,8.048,13634082.0,8.048,13634082.0,8.048,2.1,30490639.0
1994,14297617.0,7.795,14297617.0,7.795,14297617.0,7.795,14297617.0,7.795,2.1,30490639.0
1995,14913313.0,7.525,14913313.0,7.525,14913313.0,7.525,14913313.0,7.525,2.1,30490639.0
1996,15469274.0,7.251,15469274.0,7.251,15469274.0,7.251,15469274.0,7.251,2.1,30490639.0
1997,15975676.0,6.986,15975676.0,6.986,15975676.0,6.986,15975676.0,6.986,2.1,30490639.0
1998,16450306.0,6.738,16450306.0,6.738,16450306.0,6.738,16450306.0,6.738,2.1,30490639.0
1999,16921157.0,6.514,16921157.0,6.514,16921157.0,6.514,16921157.0,6.514,2.1,30490639.0
2000,17409071.0,6.313,17409071.0,6.313,17409071.0,6.313,17409071.0,6.313,2.1,30490639.0
2001,17918369.0,6.13,17918369.0,6.13,17918369.0,6.13,17918369.0,6.13,2.1,30490639.0
2002,18443684.0,5.954,18443684.0,5.954,18443684.0,5.954,18443684.0,5.954,2.1,30490639.0
2003,18985001.0,5.778,18985001.0,5.778,18985001.0,5.778,18985001.0,5.778,2.1,30490639.0
2004,19540096.0,5.601,19540096.0,5.601,19540096.0,5.601,19540096.0,5.601,2.1,30490639.0
2005,20107416.0,5.425,20107416.0,5.425,20107416.0,5.425,20107416.0,5.425,2.1,30490639.0
2006,20687648.0,5.253,20687648.0,5.253,20687648.0,5.253,20687648.0,5.253,2.1,30490639.0
2007,21282514.0,5.09,21282514.0,5.09,21282514.0,5.09,21282514.0,5.09,2.1,30490639.0
2008,21892149.0,4.94,21892149.0,4.94,21892149.0,4.94,21892149.0,4.94,2.1,30490639.0
2009,22516464.0,4.801,22516464.0,4.801,22516464.0,4.801,22516464.0,4.801,2.1,30490639.0
2010,23154854.0,4.674,23154854.0,4.674,23154854.0,4.674,23154854.0,4.674,2.1,30490639.0
2011,23807586.0,4.554,23807586.0,4.554,23807586.0,4.554,23807586.0,4.554,2.1,30490639.0
2012,24473176.0,4.439,24473176.0,4.439,24473176.0,4.439,24473176.0,4.439,2.1,30490639.0
2013,25147112.0,4.326,25147112.0,4.326,25147112.0,4.326,25147112.0,4.326,2.1,30490639.0
2014,25823488.0,4.214,25823488.0,4.214,25823488.0,4.214,25823488.0,4.214,2.1,30490639.0
2015,26497881.0,4.103,26497881.0,4.103,26497881.0,4.103,26497881.0,4.103,2.1,30490639.0
2016,27168210.0,3.994,27168210.0,3.994,27168210.0,3.994,27168210.0,3.994,2.1,30490639.0
2017,27834811.0,3.89,27834811.0,3.89,27834811.0,3.89,27834811.0,3.89,2.1,30490639.0
2018,28498683.0,3.792,28498683.0,3.792,28498683.0,3.792,28498683.0,3.792,2.1,30490639.0
2019,29161922.0,3.7,29161922.0,3.7,29161922.0,3.7,29161922.0,3.7,2.1,30490639.0
2020,29825968.0,3.614,29825968.0,3.614,29825968.0,3.614,29825968.0,3.614,2.1,30490639.0
2021,30490639.0,3.614,30490639.0,3.614,30490639.0,3.614,30490639.0,3.614,2.1,30490639.0
2022,30812398.069,3.567,30800172.036,3.511,30799371.238,3.507,30822792.576,3.614,2.1,30490639.0
2023,31123898.903,3.52,31087729.895,3.411,31085374.005,3.404,31154946.152,3.614,2.1,30490639.0
2024,31425275.988,3.474,31353939.53,3.313,31349318.73,3.303,31487099.729,3.614,2.1,30490639.0
2025,31716662.045,3.428,31599410.004,3.219,31591857.006,3.206,31819253.305,3.614,2.1,30490639.0
2026,31998188.058,3.383,31824733.007,3.127,31813621.18,3.111,32151406.881,3.614,2.1,30490639.0
2027,32269983.29,3.339,32030483.346,3.038,32015224.919,3.019,32483560.457,3.614,2.1,30490639.0
2028,32532175.314,3.295,32217219.429,2.951,32197263.763,2.93,32815714.033,3.614,2.1,30490639.0
2029,32784890.026,3.252,32385483.733,2.867,32360315.658,2.843,33147867.61,3.614,2.1,30490639.0
2030,33028251.675,3.209,32535803.257,2.785,32504941.479,2.759,33480021.186,3.614,2.1,30490639.0
2031,33262382.88,3.167,32668689.965,2.706,32631685.533,2.678,33812174.762,3.614,2.1,30490639.0
2032,33487404.65,3.126,32784641.218,2.629,32741076.046,2.599,34144328.338,3.614,2.1,30490639.0
2033,33703436.411,3.085,32884140.182,2.554,32833625.642,2.522,34476481.914,3.614,2.1,30490639.0
