year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,17099836.0,6.041,17099836.0,6.041,17099836.0,6.041,17099836.0,6.041,2.1,60041996.0
1961,17524533.0,6.028,17524533.0,6.028,17524533.0,6.028,17524533.0,6.028,2.1,60041996.0
1962,17965733.0,6.01,17965733.0,6.01,17965733.0,6.01,17965733.0,6.01,2.1,60041996.0
1963,18423157.0,5.986,18423157.0,5.986,18423157.0,5.986,18423157.0,5.986,2.1,60041996.0
1964,18896303.0,5.956,18896303.0,5.956,18896303.0,5.956,18896303.0,5.956,2.1,60041996.0
1965,19384838.0,5.92,19384838.0,5.92,19384838.0,5.92,19384838.0,5.92,2.1,60041996.0
1966,19888259.0,5.878,19888259.0,5.878,19888259.0,5.878,19888259.0,5.878,2.1,60041996.0
1967,20406863.0,5.832,20406863.0,5.832,20406863.0,5.832,20406863.0,5.832,2.1,60041996.0
1968,20942147.0,5.782,20942147.0,5.782,20942147.0,5.782,20942147.0,5.782,2.1,60041996.0
1969,21496075.0,5.728,21496075.0,5.728,21496075.0,5.728,21496075.0,5.728,2.1,60041996.0
1970,22069783.0,5.669,22069783.0,5.669,22069783.0,5.669,22069783.0,5.669,2.1,60041996.0
1971,22665265.0,5.601,22665265.0,5.601,22665265.0,5.601,22665265.0,5.601,2.1,60041996.0
1972,23281517.0,5.525,23281517.0,5.525,23281517.0,5.525,23281517.0,5.525,2.1,60041996.0
1973,23913090.0,5.441,23913090.0,5.441,23913090.0,5.441,23913090.0,5.441,2.1,60041996.0
1974,24552540.0,5.353,24552540.0,5.353,24552540.0,5.353,24552540.0,5.353,2.1,60041996.0
1975,25195184.0,5.265,25195184.0,5.265,25195184.0,5.265,25195184.0,5.265,2.1,60041996.0
1976,25836890.0,5.185,25836890.0,5.185,25836890.0,5.185,25836890.0,5.185,2.1,60041996.0
1977,26480915.0,5.116,26480915.0,5.116,26480915.0,5.116,26480915.0,5.116,2.1,60041996.0
1978,27138966.0,5.06,27138966.0,5.06,27138966.0,5.06,27138966.0,5.06,2.1,60041996.0
1979,27827325.0,5.016,27827325.0,5.016,27827325.0,5.016,27827325.0,5.016,2.1,60041996.0
1980,28556771.0,4.98,28556771.0,4.98,28556771.0,4.98,28556771.0,4.98,2.1,60041996.0
1981,29333095.0,4.947,29333095.0,4.947,29333095.0,4.947,29333095.0,4.947,2.1,60041996.0
1982,30150448.0,4.909,30150448.0,4.909,30150448.0,4.909,30150448.0,4.909,2.1,60041996.0
1983,30993762.0,4.859,30993762.0,4.859,30993762.0,4.859,30993762.0,4.859,2.1,60041996.0
1984,31841588.0,4.792,31841588.0,4.792,31841588.0,4.792,31841588.0,4.792,2.1,60041996.0
1985,32678876.0,4.705,32678876.0,4.705,32678876.0,4.705,32678876.0,4.705,2.1,60041996.0
1986,33495956.0,4.592,33495956.0,4.592,33495956.0,4.592,33495956.0,4.592,2.1,60041996.0
1987,34297727.0,4.458,34297727.0,4.458,34297727.0,4.458,34297727.0,4.458,2.1,60041996.0
1988,35100905.0,4.306,35100905.0,4.306,35100905.0,4.306,35100905.0,4.306,2.1,60041996.0
1989,35930056.0,4.139,35930056.0,4.139,35930056.0,4.139,35930056.0,4.139,2.1,60041996.0
1990,36800507.0,3.964,36800507.0,3.964,36800507.0,3.964,36800507.0,3.964,2.1,60041996.0
1991,37718952.0,3.784,37718952.0,3.784,37718952.0,3.784,37718952.0,3.784,2.1,60041996.0
1992,38672611.0,3.607,38672611.0,3.607,38672611.0,3.607,38672611.0,3.607,2.1,60041996.0
1993,39633754.0,3.438,39633754.0,3.438,39633754.0,3.438,39633754.0,3.438,2.1,60041996.0
1994,40564061.0,3.283,40564061.0,3.283,40564061.0,3.283,40564061.0,3.283,2.1,60041996.0
1995,41435761.0,3.144,41435761.0,3.144,41435761.0,3.144,41435761.0,3.144,2.1,60041996.0
1996,42241007.0,3.023,42241007.0,3.023,42241007.0,3.023,42241007.0,3.023,2.1,60041996.0
1997,42987456.0,2.919,42987456.0,2.919,42987456.0,2.919,42987456.0,2.919,2.1,60041996.0
1998,43682259.0,2.829,43682259.0,2.829,43682259.0,2.829,43682259.0,2.829,2.1,60041996.0
1999,44338551.0,2.754,44338551.0,2.754,44338551.0,2.754,44338551.0,2.754,2.1,60041996.0
