year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3070780.0,7.115,3070780.0,7.115,3070780.0,7.115,3070780.0,7.115,2.1,18920657.0
1961,3164330.0,7.169,3164330.0,7.169,3164330.0,7.169,3164330.0,7.169,2.1,18920657.0
1962,3260645.0,7.214,3260645.0,7.214,3260645.0,7.214,3260645.0,7.214,2.1,18920657.0
1963,3360099.0,7.249,3360099.0,7.249,3360099.0,7.249,3360099.0,7.249,2.1,18920657.0
1964,3463211.0,7.274,3463211.0,7.274,3463211.0,7.274,3463211.0,7.274,2.1,18920657.0
1965,3570466.0,7.291,3570466.0,7.291,3570466.0,7.291,3570466.0,7.291,2.1,18920657.0
1966,3681953.0,7.304,3681953.0,7.304,3681953.0,7.304,3681953.0,7.304,2.1,18920657.0
1967,3797877.0,7.317,3797877.0,7.317,3797877.0,7.317,3797877.0,7.317,2.1,18920657.0
1968,3918872.0,7.332,3918872.0,7.332,3918872.0,7.332,3918872.0,7.332,2.1,18920657.0
1969,4045740.0,7.349,4045740.0,7.349,4045740.0,7.349,4045740.0,7.349,2.1,18920657.0
1970,4179062.0,7.367,4179062.0,7.367,4179062.0,7.367,4179062.0,7.367,2.1,18920657.0
1971,4319226.0,7.383,4319226.0,7.383,4319226.0,7.383,4319226.0,7.383,2.1,18920657.0
1972,4466170.0,7.392,4466170.0,7.392,4466170.0,7.392,4466170.0,7.392,2.1,18920657.0
1973,4619549.0,7.393,4619549.0,7.393,4619549.0,7.393,4619549.0,7.393,2.1,18920657.0
1974,4778716.0,7.382,4778716.0,7.382,4778716.0,7.382,4778716.0,7.382,2.1,18920657.0
1975,4943279.0,7.359,4943279.0,7.359,4943279.0,7.359,4943279.0,7.359,2.1,18920657.0
1976,5112823.0,7.323,5112823.0,7.323,5112823.0,7.323,5112823.0,7.323,2.1,18920657.0
1977,5287544.0,7.276,5287544.0,7.276,5287544.0,7.276,5287544.0,7.276,2.1,18920657.0
