year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3776679.0,7.158,3776679.0,7.158,3776679.0,7.158,3776679.0,7.158,2.1,15092171.0
1961,3905038.0,7.215,3905038.0,7.215,3905038.0,7.215,3905038.0,7.215,2.1,15092171.0
1962,4039209.0,7.267,4039209.0,7.267,4039209.0,7.267,4039209.0,7.267,2.1,15092171.0
1963,4178726.0,7.311,4178726.0,7.311,4178726.0,7.311,4178726.0,7.311,2.1,15092171.0
1964,4322854.0,7.347,4322854.0,7.347,4322854.0,7.347,4322854.0,7.347,2.1,15092171.0
1965,4471178.0,7.373,4471178.0,7.373,4471178.0,7.373,4471178.0,7.373,2.1,15092171.0
1966,4623340.0,7.391,4623340.0,7.391,4623340.0,7.391,4623340.0,7.391,2.1,15092171.0
1967,4779825.0,7.403,4779825.0,7.403,4779825.0,7.403,4779825.0,7.403,2.1,15092171.0
1968,4941901.0,7.411,4941901.0,7.411,4941901.0,7.411,4941901.0,7.411,2.1,15092171.0
1969,5111326.0,7.415,5111326.0,7.415,5111326.0,7.415,5111326.0,7.415,2.1,15092171.0
1970,5289312.0,7.419,5289312.0,7.419,5289312.0,7.419,5289312.0,7.419,2.1,15092171.0
1971,5476978.0,7.425,5476978.0,7.425,5476978.0,7.425,5476978.0,7.425,2.1,15092171.0
1972,5673914.0,7.434,5673914.0,7.434,5673914.0,7.434,5673914.0,7.434,2.1,15092171.0
1973,5877725.0,7.441,5877725.0,7.441,5877725.0,7.441,5877725.0,7.441,2.1,15092171.0
1974,6085078.0,7.442,6085078.0,7.442,6085078.0,7.442,6085078.0,7.442,2.1,15092171.0
1975,6293875.0,7.427,6293875.0,7.427,6293875.0,7.427,6293875.0,7.427,2.1,15092171.0
1976,6502566.0,7.385,6502566.0,7.385,6502566.0,7.385,6502566.0,7.385,2.1,15092171.0
1977,6712825.0,7.308,6712825.0,7.308,6712825.0,7.308,6712825.0,7.308,2.1,15092171.0
1978,6929663.0,7.195,6929663.0,7.195,6929663.0,7.195,6929663.0,7.195,2.1,15092171.0
1979,7160021.0,7.045,7160021.0,7.045,7160021.0,7.045,7160021.0,7.045,2.1,15092171.0
1980,7408630.0,6.865,7408630.0,6.865,7408630.0,6.865,7408630.0,6.865,2.1,15092171.0
1981,7675582.0,6.663,7675582.0,6.663,7675582.0,6.663,7675582.0,6.663,2.1,15092171.0
1982,7958239.0,6.451,7958239.0,6.451,7958239.0,6.451,7958239.0,6.451,2.1,15092171.0
1983,8254746.0,6.24,8254746.0,6.24,8254746.0,6.24,8254746.0,6.24,2.1,15092171.0
1984,8562259.0,6.034,8562259.0,6.034,8562259.0,6.034,8562259.0,6.034,2.1,15092171.0
1985,8877489.0,5.836,8877489.0,5.836,8877489.0,5.836,8877489.0,5.836,2.1,15092171.0
1986,9200150.0,5.642,9200150.0,5.642,9200150.0,5.642,9200150.0,5.642,2.1,15092171.0
1987,9527202.0,5.448,9527202.0,5.448,9527202.0,5.448,9527202.0,5.448,2.1,15092171.0
1988,9849129.0,5.252,9849129.0,5.252,9849129.0,5.252,9849129.0,5.252,2.1,15092171.0
1989,10153852.0,5.055,10153852.0,5.055,10153852.0,5.055,10153852.0,5.055,2.1,15092171.0
1990,10432409.0,4.862,10432409.0,4.862,10432409.0,4.862,10432409.0,4.862,2.1,15092171.0
